movie,genre,runtime,certificate,rating,stars,description,votes,director
The Sixth Commandment,Drama            ,,,8.1,"['Adrian Rawlins, ', 'Amanda Root, ', 'Conor MacNeill, ', 'Éanna Hardwicke', '']","Follows the deaths of Peter Farquhar and Ann Moore-Martin in the village of Maids Moreton, Buckinghamshire, and the extraordinary events that unfolded in the following years.","1,801",
The Shawshank Redemption,Drama            ,142 min,A,9.3,"['Tim Robbins, ', 'Morgan Freeman, ', 'Bob Gunton, ', 'William Sadler', '']","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",$28.34M,['Frank Darabont']
Euphoria,Drama            ,55 min,A,8.3,"['Zendaya, ', 'Hunter Schafer, ', 'Jacob Elordi, ', 'Maude Apatow', '']","A look at life for a group of high school students as they grapple with issues of drugs, sex, and violence.","2,14,007",
The Good Doctor,Drama            ,41 min,15+,8,"['Freddie Highmore, ', 'Hill Harper, ', 'Richard Schiff, ', 'Christina Chang', '']","Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.","1,05,685",
Billions,Drama            ,60 min,15+,8.4,"['Paul Giamatti, ', 'Damian Lewis, ', 'Maggie Siff, ', 'David Costabile', '']","New money means no mercy as Mike Prince takes the Axe Capital throne. Chuck Rhoades is convinced no one should have that much wealth - or power. As all the players seek out new alliances, only one thing's for certain - wealth means war.","99,042",
Fight Club,Drama            ,139 min,A,8.8,"['Brad Pitt, ', 'Edward Norton, ', 'Meat Loaf, ', 'Zach Grenier', '']",An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,$37.03M,['David Fincher']
Mad Men,Drama            ,47 min,16+,8.7,"['Jon Hamm, ', 'Elisabeth Moss, ', 'Vincent Kartheiser, ', 'January Jones', '']","A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.","2,50,518",
The Whale,Drama            ,117 min,A,7.7,"['Brendan Fraser, ', 'Sadie Sink, ', 'Ty Simpkins, ', 'Hong Chau', '']","A reclusive, morbidly obese English teacher attempts to reconnect with his estranged teenage daughter.","1,65,378",['Darren Aronofsky']
The Morning Show,Drama            ,60 min,15+,8.2,"['Jennifer Aniston, ', 'Reese Witherspoon, ', 'Billy Crudup, ', 'Mark Duplass', '']","An inside look at the lives of the people who help America wake up in the morning, exploring the unique challenges faced by the team.","1,11,773",
The Beauty Queen of Jerusalem,Drama            ,28 min,,7.3,"['Michael Aloni, ', 'Swell Ariel Or, ', 'Hila Saada, ', 'Irit Kaplan', '']","A family living through the Ottoman Empire, The British Mandate and Israel's War of Independence. The multi-generational historical melodrama will shoot across the country in Hebrew, English, Ladino and Arabic.","1,224",
American Beauty,Drama            ,122 min,UA,8.3,"['Kevin Spacey, ', 'Annette Bening, ', 'Thora Birch, ', 'Wes Bentley', '']",A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,$130.10M,['Sam Mendes']
House of Cards,Drama            ,51 min,16+,8.7,"['Kevin Spacey, ', 'Michel Gill, ', 'Robin Wright, ', 'Kate Mara', '']",A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,"5,17,957",
There Will Be Blood,Drama            ,158 min,A,8.2,"['Daniel Day-Lewis, ', 'Paul Dano, ', 'Ciarán Hinds, ', 'Martin Stringer', '']","A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",$40.22M,['Paul Thomas Anderson']
Requiem for a Dream,Drama            ,102 min,A,8.3,"['Ellen Burstyn, ', 'Jared Leto, ', 'Jennifer Connelly, ', 'Marlon Wayans', '']",The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,$3.64M,['Darren Aronofsky']
One Flew Over the Cuckoo's Nest,Drama            ,133 min,A,8.7,"['Jack Nicholson, ', 'Louise Fletcher, ', 'Michael Berryman, ', 'Peter Brocco', '']","In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",$112.00M,['Milos Forman']
Dawn,Drama            ,,,5.9,"['Brec Bassinger, ', 'Khobe Clarke, ', 'Donna Mills, ', 'Elyse Maloway', '']","Follows the dark, twisted history of Dawn Longchamp and her family, along with the Cutler and Booth families.",231,['Linda-Lisa Hayter']
Salò o le 120 giornate di Sodoma,Drama            ,117 min,A,5.8,"['Paolo Bonacelli, ', 'Giorgio Cataldi, ', 'Uberto Paolo Quintavalle, ', 'Aldo Valletti', '']","In World War II Italy, four fascist libertines round up nine adolescent boys and girls and subject them to 120 days of physical, mental, and sexual torture.","63,298",['Pier Paolo Pasolini']
The Passion of the Christ,Drama            ,127 min,A,7.2,"['Jim Caviezel, ', 'Monica Bellucci, ', 'Maia Morgenstern, ', 'Christo Jivkov', '']","Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem.",$370.78M,['Mel Gibson']
The Fabelmans,Drama            ,151 min,UA,7.6,"['Michelle Williams, ', 'Gabriel LaBelle, ', 'Paul Dano, ', 'Judd Hirsch', '']","Growing up in post-World War II era Arizona, young Sammy Fabelman aspires to become a filmmaker as he reaches adolescence, but soon discovers a shattering family secret and explores how the power of films can help him see the truth.","97,298",['Steven Spielberg']
Troy,Drama            ,163 min,UA,7.3,"['Brad Pitt, ', 'Eric Bana, ', 'Orlando Bloom, ', 'Julian Glover', '']","An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved.",$133.38M,['Wolfgang Petersen']
Aftersun,Drama            ,102 min,R,7.7,"['Paul Mescal, ', 'Frankie Corio, ', 'Celia Rowlson-Hall, ', 'Sally Messham', '']",Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between as she tries to reconcile the father she knew with the man she didn't...,"69,877",['Charlotte Wells']
The West Wing,Drama            ,44 min,,8.9,"['Martin Sheen, ', 'Rob Lowe, ', 'Allison Janney, ', 'John Spencer', '']",Inside the lives of staffers in the West Wing of the White House.,"81,414",
Chicago Med,Drama            ,43 min,UA 16+,7.6,"['Nick Gehlfuss, ', 'Marlyne Barrett, ', 'S. Epatha Merkerson, ', 'Oliver Platt', '']","The city's most highly skilled medical team saves lives, while navigating their unique interpersonal relationships.","27,648",
Kids,Drama            ,91 min,A,7,"['Leo Fitzpatrick, ', 'Justin Pierce, ', 'Chloë Sevigny, ', 'Sarah Henderson', '']","A day in the life of a group of teens as they travel around New York City skating, drinking, smoking and deflowering virgins.",$7.42M,['Larry Clark']
The Queen's Gambit,Drama            ,60 min,18,8.6,"['Anya Taylor-Joy, ', 'Chloe Pirrie, ', 'Bill Camp, ', 'Marcin Dorocinski', '']","Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.","5,01,575",
Jagten,Drama            ,115 min,7,8.3,"['Mads Mikkelsen, ', 'Thomas Bo Larsen, ', 'Annika Wedderkopp, ', 'Lasse Fogelstrøm', '']","A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",$0.69M,['Thomas Vinterberg']
New Amsterdam,Drama            ,43 min,Not Rated,8,"['Ryan Eggold, ', 'Janet Montgomery, ', 'Jocko Sims, ', 'Tyler Labine', '']",A new medical director breaks the rules to heal the system at America's oldest public hospital.,"45,961",
Drops of God,Drama            ,,A,8.1,"['Tomohisa Yamashita, ', 'Fleur Geffrier, ', 'Tom Wozniczka, ', 'Stanley Weber', '']",A woman discovers the world's greatest wine collection that's left by her estranged father and competes against his protege to claim her inheritance.,"5,964",
All the Queen's Men,Drama            ,43 min,,6.7,"['Eva Marcille, ', 'Racquel Palmer, ', 'Candace Maxwell, ', 'Oshea Russell', '']","Centers around the life of Marilyn 'Madam' DeVille. Madam is a fierce businesswoman who is at the top of her game in the nightclub industry and surrounded by a band of trusted employees who...                See full summary »
","1,663",
Minari,Drama            ,115 min,UA,7.4,"['Steven Yeun, ', 'Yeri Han, ', 'Alan Kim, ', 'Noel Cho', '']","A Korean American family moves to an Arkansas farm in search of its own American dream. Amidst the challenges of new life in the strange and rugged Ozarks, they discover the undeniable resilience of family and what really makes a home.","89,110",['Lee Isaac Chung']
The Chi,Drama            ,60 min,,7.6,"['Jason Mitchell, ', 'Jacob Latimore, ', 'Ntare Guma Mbaho Mwine, ', 'Alex R. Hibbert', '']","From Emmy® winner Lena Waithe, The Chi is a timely coming-of-age drama series centered on a group of residents who become linked by coincidence but bonded by the need for connection and redemption.","6,910",
